h3,similarity
864b35527ffffff,0.5152435930537397
8641b2827ffffff,0.6071412131262638
86419d4a7ffffff,0.6927837150429177
86418322fffffff,0.6693727402624923
863098847ffffff,0.47041244214424405
863011547ffffff,0.11838127454359904
863098097ffffff,0.41635762634382223
86309835fffffff,0.38299699436025464
8630911afffffff,0.3873102156163273
8630a572fffffff,0.18615848653296235
8641a674fffffff,0.572466657204421
86419d487ffffff,0.6678620458369404
86309628fffffff,0.4774499869909552
86309b94fffffff,0.29516117857614543
8640b60cfffffff,0.3988076488537348
8641a54c7ffffff,0.5430827863503088
864194517ffffff,0.6388040345665569
864b34bb7ffffff,0.6038687417431301
8641b2ce7ffffff,0.5729428790661547
863094467ffffff,0.49269311135903365
8630b02d7ffffff,0.30613313246629276
863098007ffffff,0.3758779035984846
8630acd57ffffff,0.22296966759511144
86309a52fffffff,0.4952972241555226
8630962d7ffffff,0.44961758812116814
8641a54a7ffffff,0.5266167856694086
8630acc27ffffff,0.20644094265851792
864b3294fffffff,0.5854054984908275
8630accd7ffffff,0.1724104217757386
8641948b7ffffff,0.8148822167317512
8630962c7ffffff,0.4395737911922506
8641968afffffff,0.6015772362277447
863099497ffffff,0.28522746596826004
86309a087ffffff,0.4673929213069078
8641a0ba7ffffff,0.5807057938286107
864181487ffffff,0.8802485787672425
86309d557ffffff,0.3553639669552387
86301150fffffff,0.12026931000482605
8630b02f7ffffff,0.31444984599918196
8630b1987ffffff,0.33806631213071126
8630112efffffff,0.09482202915707996
86309a617ffffff,0.529219223920798
864196817ffffff,0.6757175136913093
863084a9fffffff,0.38194598956297243
86418d44fffffff,0.7539979544025481
86309a0a7ffffff,0.4544880118384107
86309cd97ffffff,0.38151035030713387
863199757ffffff,0.22614734266665293
8641832cfffffff,0.7014596540006595
8630b2d37ffffff,0.39862257879738844
8640b60efffffff,0.40313784519381773
864b34377ffffff,0.48461959901742924
86309eb67ffffff,0.4027031961047192
863096217ffffff,0.4752048001734809
86419cc07ffffff,0.7872464825578138
8630b172fffffff,0.3711520048280194
8630b3927ffffff,0.32146704824002353
86309a447ffffff,0.44842604407637354
863098c5fffffff,0.4017227440248897
863098337ffffff,0.37122803214786565
864183277ffffff,0.6490822887966912
86309aaa7ffffff,0.5136014600607856
863093c6fffffff,0.5198091095809851
8641b5347ffffff,0.5703232306949986
864b34b07ffffff,0.5822819830418321
8630839afffffff,0.4180853437104866
8641a834fffffff,0.7440307358592575
8630994afffffff,0.2829023194374978
86319d287ffffff,0.200341578142139
8641a82afffffff,0.73129745806031
86419e707ffffff,0.6688353264020767
86309a097ffffff,0.4521076891839355
864b3295fffffff,0.5810695755878097
8630b0287ffffff,0.3276931652769802
863199777ffffff,0.22768932096979766
8641a0b17ffffff,0.5723617748653899
8640b664fffffff,0.4294424292325708
86418325fffffff,0.6676630970463286
8631992a7ffffff,0.24542617561869376
86318b74fffffff,0.2391878891542139
863090517ffffff,0.509779293758357
863093c5fffffff,0.5346309787104362
8630a5767ffffff,0.17277784227100326
863098277ffffff,0.358259324990423
863091037ffffff,0.38003764011704116
86309b9afffffff,0.3589103634033491
8641a0d6fffffff,0.5346612582731645
8641b5357ffffff,0.6067556292881553
8641b2567ffffff,0.6009549748587704
8630962afffffff,0.4718356218748515
8641a54d7ffffff,0.532771028071776
86309b8cfffffff,0.41589015927567885
8641b5327ffffff,0.5538018994937882
8641a0b2fffffff,0.5624630793884362
86318b4f7ffffff,0.2669857998329287
86309c76fffffff,0.4269706126173467
864195417ffffff,0.7656799245719356
8630b02c7ffffff,0.3200394983344897
86309395fffffff,0.5352800232184056
863098ccfffffff,0.37921429994499295
86309941fffffff,0.31575716310028423
8630a1af7ffffff,0.27576688096798563
864182c37ffffff,0.8470661833388908
8630a1bb7ffffff,0.2965515485838295
863091577ffffff,0.38657267819257907
8641a0847ffffff,0.551085831539446
8630a12e7ffffff,0.20118827391297003
863098287ffffff,0.38571330068807475
