h3,similarity
863199777ffffff,0.7802207180388776
8641a0b17ffffff,0.7650434368590314
8640b664fffffff,0.390473495168204
86418325fffffff,0.8145910590962442
8631992a7ffffff,0.790285272045503
86318b74fffffff,0.7600259555348824
863090517ffffff,0.779170424432921
863093c5fffffff,0.8405952391545329
8630a5767ffffff,0.7682374307862931
863098277ffffff,0.967901856594781
863091037ffffff,0.9462775262119996
86309b9afffffff,0.9582469589672042
8641a0d6fffffff,0.7852445077704147
8641b5357ffffff,0.7688235318459683
8641b2567ffffff,0.8384235424131601
8630962afffffff,0.8493727236451929
8641a54d7ffffff,0.808682560372046
86309b8cfffffff,0.952161577179967
8641b5327ffffff,0.8224746117362665
8641a0b2fffffff,0.7860509795951705
86318b4f7ffffff,0.6899495632938567
86309c76fffffff,0.9058123915976837
864195417ffffff,0.7635251689748984
8630b02c7ffffff,0.7738580928703573
86309395fffffff,0.8429248482619476
863098ccfffffff,0.9284436334358224
86309941fffffff,0.9826677720521574
8630a1af7ffffff,0.7472584455255404
864182c37ffffff,0.5965900930563609
8630a1bb7ffffff,0.6451811544212545
863091577ffffff,0.9423535954411468
8641a0847ffffff,0.7690118245467559
8630a12e7ffffff,0.8394807867731812
863098287ffffff,0.9651089023016333
863094a8fffffff,0.6974530664715216
8630ac527ffffff,0.8718562547168955
8631992f7ffffff,0.8147993486062839
8630910b7ffffff,0.9362221154676891
8630a150fffffff,0.6055596968742127
864196687ffffff,0.8546706306788274
8630b261fffffff,0.396984793098716
8630a5747ffffff,0.7639007937213602
863098257ffffff,0.9763985877741214
8641a000fffffff,0.45853897134467975
863099537ffffff,0.9806192809853822
86309c2d7ffffff,0.9140570089518386
8630a570fffffff,0.7669871304719806
8641b2897ffffff,0.8474858289230514
8640b059fffffff,0.37245358725497324
8630b5117ffffff,0.5394891554030483
8630a4437ffffff,0.7393761553014353
86309b91fffffff,0.9670708603550272
864b34347ffffff,0.9305963186544886
86319928fffffff,0.8115316046519265
86309a517ffffff,0.9216886778512792
8641b2c27ffffff,0.8621011186754413
86419cc37ffffff,0.7171749579698321
86309a45fffffff,0.8972179253912695
863093947ffffff,0.8597399324513629
86309ba27ffffff,0.9572954981496953
86309624fffffff,0.8220990388521459
86309a327ffffff,0.7427204399219243
